ID_Laureate;AwardeeDisplayName;Prize0_Category;Prize0_AwardYear;ID_External;YearOfPublication;Source;Timegap
16;Wilhelm Wien;Physics;1911;10189;1883;Harvard Dataverse;28
193;Frederic Joliot;Chemistry;1935;20143;1934;Harvard Dataverse;1
194;Irene Joliot-Curie;Chemistry;1935;20142;1934;Harvard Dataverse;1
310;August Krogh;Medicine;1920;30187;1919;Harvard Dataverse;1
313;Frederick G. Banting;Medicine;1923;30184;1922;Harvard Dataverse;1
351;Philip S. Hench;Medicine;1950;30153;1949;Harvard Dataverse;1
368;Arthur Kornberg;Medicine;1959;30135;1958;Harvard Dataverse;1
19;Max von Laue;Physics;1914;10187;1913;Harvard Dataverse;1
25;Charles Edouard Guillaume;Physics;1920;10181;1919;Harvard Dataverse;1
69;Tsung-Dao Lee;Physics;1957;10137;1956;Harvard Dataverse;1
68;Chen Ning Yang;Physics;1957;10138;1956;Harvard Dataverse;1
124;Carlo Rubbia;Physics;1984;10080;1983;Harvard Dataverse;1
125;Simon van der Meer;Physics;1984;10081;1983;Harvard Dataverse;1
130;J. Georg Bednorz;Physics;1987;10075;1986;Harvard Dataverse;1
131;K. Alex MÃ¼ller;Physics;1987;10074;1986;Harvard Dataverse;1
176;Richard WillstÃ¤tter;Chemistry;1915;20160;1913;Harvard Dataverse;2
183;The Svedberg;Chemistry;1926;20153;1924;Harvard Dataverse;2
192;Harold C. Urey;Chemistry;1934;20144;1932;Harvard Dataverse;2
218;Vincent du Vigneaud;Chemistry;1955;20118;1953;Harvard Dataverse;2
226;Max F. Perutz;Chemistry;1962;20110;1960;Harvard Dataverse;2
306;Alexis Carrel;Medicine;1912;30189;1910;Harvard Dataverse;2
314;John Macleod;Medicine;1923;30183;1921;Harvard Dataverse;2
18;Heike Kamerlingh Onnes;Physics;1913;10188;1911;Harvard Dataverse;2
21;Lawrence Bragg;Physics;1915;10185;1913;Harvard Dataverse;2
20;William Bragg;Physics;1915;10186;1913;Harvard Dataverse;2
37;Sir Chandrasekhara Venkata Raman;Physics;1930;10169;1928;Harvard Dataverse;2
105;Burton Richter;Physics;1976;10100;1974;Harvard Dataverse;2
106;Samuel C.C. Ting;Physics;1976;10099;1974;Harvard Dataverse;2
180;Francis W. Aston;Chemistry;1922;20156;1919;Harvard Dataverse;3
187;Hans von Euler-Chelpin;Chemistry;1929;20150;1926;Harvard Dataverse;3
217;Linus Pauling;Chemistry;1954;20119;1951;Harvard Dataverse;3
222;Frederick Sanger;Chemistry;1958;20114;1955;Harvard Dataverse;3
254;Paul Berg;Chemistry;1980;20082;1977;Harvard Dataverse;3
255;Walter Gilbert;Chemistry;1980;20080;1977;Harvard Dataverse;3
10222;Frederick Sanger;Chemistry;1980;20081;1977;Harvard Dataverse;3
288;John E. Walker;Chemistry;1997;20048;1994;Harvard Dataverse;3
312;Otto Meyerhof;Medicine;1922;30185;1919;Harvard Dataverse;3
322;Otto Warburg;Medicine;1931;30179;1928;Harvard Dataverse;3
388;Robert W. Holley;Medicine;1968;30115;1965;Harvard Dataverse;3
41;James Chadwick;Physics;1935;10165;1932;Harvard Dataverse;3
43;Carl D. Anderson;Physics;1936;10164;1933;Harvard Dataverse;3
55;Cecil Powell;Physics;1950;10151;1947;Harvard Dataverse;3
76;Rudolf MÃ¶ssbauer;Physics;1961;10129;1958;Harvard Dataverse;3
185;Adolf Windaus;Chemistry;1928;20151;1924;Harvard Dataverse;4
199;Adolf Butenandt;Chemistry;1939;20137;1935;Harvard Dataverse;4
227;John C. Kendrew;Chemistry;1962;20109;1958;Harvard Dataverse;4
270;Johann Deisenhofer;Chemistry;1988;20064;1984;Harvard Dataverse;4
271;Robert Huber;Chemistry;1988;20065;1984;Harvard Dataverse;4
324;Edgar Adrian;Medicine;1932;30178;1928;Harvard Dataverse;4
334;Gerhard Domagk;Medicine;1939;30168;1935;Harvard Dataverse;4
336;Edward A. Doisy;Medicine;1943;30166;1939;Harvard Dataverse;4
346;Paul MÃ¼ller;Medicine;1948;30156;1944;Harvard Dataverse;4
367;Severo Ochoa;Medicine;1959;30136;1955;Harvard Dataverse;4
380;FranÃ§ois Jacob;Medicine;1965;30123;1961;Harvard Dataverse;4
382;Jacques Monod;Medicine;1965;30121;1961;Harvard Dataverse;4
387;George Wald;Medicine;1967;30118;1963;Harvard Dataverse;4
33;Arthur H. Compton;Physics;1927;10172;1923;Harvard Dataverse;4
38;Werner Heisenberg;Physics;1932;10168;1928;Harvard Dataverse;4
46;Enrico Fermi;Physics;1938;10160;1934;Harvard Dataverse;4
73;Owen Chamberlain;Physics;1959;10132;1955;Harvard Dataverse;4
72;Emilio SegrÃ¨;Physics;1959;10133;1955;Harvard Dataverse;4
128;Gerd Binnig;Physics;1986;10076;1982;Harvard Dataverse;4
129;Heinrich Rohrer;Physics;1986;10077;1982;Harvard Dataverse;4
177;Fritz Haber;Chemistry;1918;20159;1913;Harvard Dataverse;5
184;Heinrich Wieland;Chemistry;1927;20152;1922;Harvard Dataverse;5
198;Richard Kuhn;Chemistry;1938;20138;1933;Harvard Dataverse;5
202;Otto Hahn;Chemistry;1944;20134;1939;Harvard Dataverse;5
213;Glenn T. Seaborg;Chemistry;1951;20123;1946;Harvard Dataverse;5
278;Kary B. Mullis;Chemistry;1993;20058;1988;Harvard Dataverse;5
770;Roderick MacKinnon;Chemistry;2003;20034;1998;Harvard Dataverse;5
332;Albert Szent-GyÃ¶rgyi;Medicine;1937;30170;1932;Harvard Dataverse;5
340;Ernst B. Chain;Medicine;1945;30161;1940;Harvard Dataverse;5
341;Sir Howard Florey;Medicine;1945;30163;1940;Harvard Dataverse;5
345;Bernardo Houssay;Medicine;1947;30158;1942;Harvard Dataverse;5
356;John F. Enders;Medicine;1954;30146;1949;Harvard Dataverse;5
358;Frederick C. Robbins;Medicine;1954;30144;1949;Harvard Dataverse;5
357;Thomas H. Weller;Medicine;1954;30145;1949;Harvard Dataverse;5
406;David Baltimore;Medicine;1975;30096;1970;Harvard Dataverse;5
408;Howard M. Temin;Medicine;1975;30097;1970;Harvard Dataverse;5
3;Pieter Zeeman;Physics;1902;10193;1897;Harvard Dataverse;5
24;Johannes Stark;Physics;1919;10182;1914;Harvard Dataverse;5
36;Louis de Broglie;Physics;1929;10170;1924;Harvard Dataverse;5
40;Paul A.M. Dirac;Physics;1933;10167;1928;Harvard Dataverse;5
126;Klaus von Klitzing;Physics;1985;10079;1980;Harvard Dataverse;5
726;Zhores Alferov;Physics;2000;10044;1995;Harvard Dataverse;5
793;Theodor W. HÃ¤nsch;Physics;2005;10029;2000;Harvard Dataverse;5
792;John L. Hall;Physics;2005;10030;2000;Harvard Dataverse;5
167;Ernest Rutherford;Chemistry;1908;20163;1902;Harvard Dataverse;6
179;Frederick Soddy;Chemistry;1921;20157;1915;Harvard Dataverse;6
197;Paul Karrer;Chemistry;1937;20140;1931;Harvard Dataverse;6
231;Robert B. Woodward;Chemistry;1965;20105;1959;Harvard Dataverse;6
272;Hartmut Michel;Chemistry;1988;20066;1982;Harvard Dataverse;6
273;Sidney Altman;Chemistry;1989;20063;1983;Harvard Dataverse;6
418;Godfrey N. Hounsfield;Medicine;1979;30086;1973;Harvard Dataverse;6
875;Shinya Yamanaka;Medicine;2012;30011;2006;Harvard Dataverse;6
49;Isidor Isaac Rabi;Physics;1944;10157;1938;Harvard Dataverse;6
58;Felix Bloch;Physics;1952;10147;1946;Harvard Dataverse;6
59;E. M. Purcell;Physics;1952;10148;1946;Harvard Dataverse;6
81;Charles H. Townes;Physics;1964;10123;1958;Harvard Dataverse;6
101;Antony Hewish;Physics;1974;10105;1968;Harvard Dataverse;6
738;Eric Cornell;Physics;2001;10040;1995;Harvard Dataverse;6
739;Wolfgang Ketterle;Physics;2001;10041;1995;Harvard Dataverse;6
740;Carl Wieman;Physics;2001;10042;1995;Harvard Dataverse;6
849;Andre Geim;Physics;2010;10017;2004;Harvard Dataverse;6
850;Konstantin Novoselov;Physics;2010;10016;2004;Harvard Dataverse;6
274;Thomas R. Cech;Chemistry;1989;20062;1982;Harvard Dataverse;7
333;Corneille Heymans;Medicine;1938;30169;1931;Harvard Dataverse;7
390;Marshall W. Nirenberg;Medicine;1968;30113;1961;Harvard Dataverse;7
411;Roger Guillemin;Medicine;1977;30092;1970;Harvard Dataverse;7
415;Daniel Nathans;Medicine;1978;30088;1971;Harvard Dataverse;7
39;Erwin SchrÃ¶dinger;Physics;1933;10166;1926;Harvard Dataverse;7
64;Polykarp Kusch;Physics;1955;10142;1948;Harvard Dataverse;7
65;William B. Shockley;Physics;1956;10141;1949;Harvard Dataverse;7
89;Luis Alvarez;Physics;1968;10116;1961;Harvard Dataverse;7
229;Giulio Natta;Chemistry;1963;20108;1955;Harvard Dataverse;8
228;Karl Ziegler;Chemistry;1963;20107;1955;Harvard Dataverse;8
230;Dorothy Crowfoot Hodgkin;Chemistry;1964;20106;1956;Harvard Dataverse;8
250;Ilya Prigogine;Chemistry;1977;20086;1969;Harvard Dataverse;8
991;Emmanuelle Charpentier;Chemistry;2020;;2012;ChatGPT 4c (September 2024);8
992;Jennifer A. Doudna;Chemistry;2020;;2012;ChatGPT 4c (September 2024);8
327;George R. Minot;Medicine;1934;30174;1926;Harvard Dataverse;8
328;William P. Murphy;Medicine;1934;30176;1926;Harvard Dataverse;8
335;Henrik Dam;Medicine;1943;30167;1935;Harvard Dataverse;8
355;Fritz Lipmann;Medicine;1953;30147;1945;Harvard Dataverse;8
360;AndrÃ© F. Cournand;Medicine;1956;30142;1948;Harvard Dataverse;8
362;Dickinson W. Richards;Medicine;1956;30141;1948;Harvard Dataverse;8
412;Andrew V. Schally;Medicine;1977;30091;1969;Harvard Dataverse;8
416;Hamilton O. Smith;Medicine;1978;30090;1970;Harvard Dataverse;8
426;Bengt I. Samuelsson;Medicine;1982;30077;1974;Harvard Dataverse;8
802;Andrew Z. Fire;Medicine;2006;30027;1998;Harvard Dataverse;8
803;Craig C. Mello;Medicine;2006;30026;1998;Harvard Dataverse;8
29;Manne Siegbahn;Physics;1924;10177;1916;Harvard Dataverse;8
47;Ernest Lawrence;Physics;1939;10159;1931;Harvard Dataverse;8
63;Willis E. Lamb;Physics;1955;10143;1947;Harvard Dataverse;8
67;Walter H. Brattain;Physics;1956;10140;1948;Harvard Dataverse;8
74;Donald A. Glaser;Physics;1960;10131;1952;Harvard Dataverse;8
168;Wilhelm Ostwald;Chemistry;1909;20162;1900;Harvard Dataverse;9
178;Walther Nernst;Chemistry;1920;20158;1911;Harvard Dataverse;9
196;Norman Haworth;Chemistry;1937;20139;1928;Harvard Dataverse;9
225;Melvin Calvin;Chemistry;1961;20111;1952;Harvard Dataverse;9
841;Venkatraman Ramakrishnan;Chemistry;2009;20019;2000;Harvard Dataverse;9
842;Thomas A. Steitz;Chemistry;2009;20020;2000;Harvard Dataverse;9
843;Ada E. Yonath;Chemistry;2009;20021;2000;Harvard Dataverse;9
370;Peter Medawar;Medicine;1960;30133;1951;Harvard Dataverse;9
372;Francis Crick;Medicine;1962;30131;1953;Harvard Dataverse;9
373;James Watson;Medicine;1962;30130;1953;Harvard Dataverse;9
374;Maurice Wilkins;Medicine;1962;30129;1953;Harvard Dataverse;9
375;Sir John Eccles;Medicine;1963;30126;1954;Harvard Dataverse;9
389;H. Gobind Khorana;Medicine;1968;30114;1959;Harvard Dataverse;9
397;Earl W. Sutherland, Jr.;Medicine;1971;30106;1962;Harvard Dataverse;9
430;Georges J.F. KÃ¶hler;Medicine;1984;30074;1975;Harvard Dataverse;9
431;CÃ©sar Milstein;Medicine;1984;30073;1975;Harvard Dataverse;9
905;Edvard I. Moser;Medicine;2014;30005;2005;Harvard Dataverse;9
904;May-Britt Moser;Medicine;2014;30007;2005;Harvard Dataverse;9
10;J.J. Thomson;Physics;1906;10191;1897;Harvard Dataverse;9
27;Niels Bohr;Physics;1922;10179;1913;Harvard Dataverse;9
30;James Franck;Physics;1925;10176;1916;Harvard Dataverse;9
31;Gustav Hertz;Physics;1925;10175;1916;Harvard Dataverse;9
66;John Bardeen;Physics;1956;10139;1947;Harvard Dataverse;9
153;Claude Cohen-Tannoudji;Physics;1997;10052;1988;Harvard Dataverse;9
154;William D. Phillips;Physics;1997;10051;1988;Harvard Dataverse;9
206;Wendell M. Stanley;Chemistry;1946;20130;1936;Harvard Dataverse;10
369;Sir Frank Macfarlane Burnet;Medicine;1960;30134;1950;Harvard Dataverse;10
410;D. Carleton Gajdusek;Medicine;1976;30094;1966;Harvard Dataverse;10
429;Niels K. Jerne;Medicine;1984;30075;1974;Harvard Dataverse;10
444;Erwin Neher;Medicine;1991;30060;1981;Harvard Dataverse;10
445;Bert Sakmann;Medicine;1991;30059;1981;Harvard Dataverse;10
44;Clinton Davisson;Physics;1937;10161;1927;Harvard Dataverse;10
45;George Paget Thomson;Physics;1937;10162;1927;Harvard Dataverse;10
82;Nicolay G. Basov;Physics;1964;10124;1954;Harvard Dataverse;10
83;Aleksandr M. Prokhorov;Physics;1964;10122;1954;Harvard Dataverse;10
175;Theodore W. Richards;Chemistry;1914;20161;1903;Harvard Dataverse;11
208;Arne Tiselius;Chemistry;1948;20128;1937;Harvard Dataverse;11
212;Edwin M. McMillan;Chemistry;1951;20124;1940;Harvard Dataverse;11
214;Archer J.P. Martin;Chemistry;1952;20122;1941;Harvard Dataverse;11
215;Richard L.M. Synge;Chemistry;1952;20121;1941;Harvard Dataverse;11
224;Willard F. Libby;Chemistry;1960;20112;1949;Harvard Dataverse;11
232;Robert S. Mulliken;Chemistry;1966;20104;1955;Harvard Dataverse;11
241;Christian Anfinsen;Chemistry;1972;20093;1961;Harvard Dataverse;11
284;Robert F. Curl Jr.;Chemistry;1996;20052;1985;Harvard Dataverse;11
285;Sir Harold Kroto;Chemistry;1996;20050;1985;Harvard Dataverse;11
286;Richard E. Smalley;Chemistry;1996;20051;1985;Harvard Dataverse;11
292;Ahmed Zewail;Chemistry;1999;20044;1988;Harvard Dataverse;11
769;Peter Agre;Chemistry;2003;20033;1992;Harvard Dataverse;11
831;Roger Y. Tsien;Chemistry;2008;20023;1997;Harvard Dataverse;11
307;Charles Richet;Medicine;1913;30188;1902;Harvard Dataverse;11
329;Hans Spemann;Medicine;1935;30173;1924;Harvard Dataverse;11
376;Alan Hodgkin;Medicine;1963;30127;1952;Harvard Dataverse;11
377;Andrew Huxley;Medicine;1963;30128;1952;Harvard Dataverse;11
379;Feodor Lynen;Medicine;1964;30124;1953;Harvard Dataverse;11
385;Ragnar Granit;Medicine;1967;30116;1956;Harvard Dataverse;11
409;Baruch S. Blumberg;Medicine;1976;30095;1965;Harvard Dataverse;11
427;John R. Vane;Medicine;1982;30078;1971;Harvard Dataverse;11
432;Michael S. Brown;Medicine;1985;30071;1974;Harvard Dataverse;11
433;Joseph L. Goldstein;Medicine;1985;30072;1974;Harvard Dataverse;11
436;Susumu Tonegawa;Medicine;1987;30068;1976;Harvard Dataverse;11
459;Louis J. Ignarro;Medicine;1998;30046;1987;Harvard Dataverse;11
998;Ardem Patapoutian;Medicine;2021;;2010;ChatGPT 4c (September 2024);11
9;Philipp Lenard;Physics;1905;10192;1894;Harvard Dataverse;11
22;Charles Glover Barkla;Physics;1917;10184;1906;Harvard Dataverse;11
90;Murray Gell-Mann;Physics;1969;10115;1958;Harvard Dataverse;11
99;Brian D. Josephson;Physics;1973;10108;1962;Harvard Dataverse;11
114;Abdus Salam;Physics;1979;10090;1968;Harvard Dataverse;11
121;Kenneth G. Wilson;Physics;1982;10084;1971;Harvard Dataverse;11
152;Steven Chu;Physics;1997;10053;1986;Harvard Dataverse;11
221;Lord Todd;Chemistry;1957;20115;1945;Harvard Dataverse;12
311;Archibald V. Hill;Medicine;1922;30186;1910;Harvard Dataverse;12
331;Otto Loewi;Medicine;1936;30172;1924;Harvard Dataverse;12
348;Egas Moniz;Medicine;1949;30155;1937;Harvard Dataverse;12
353;Selman A. Waksman;Medicine;1952;30149;1940;Harvard Dataverse;12
366;Joshua Lederberg;Medicine;1958;30137;1946;Harvard Dataverse;12
396;Julius Axelrod;Medicine;1970;30108;1958;Harvard Dataverse;12
458;Robert F. Furchgott;Medicine;1998;30045;1986;Harvard Dataverse;12
1011;Svante PÃ¤Ã¤bo;Medicine;2022;;2010;ChatGPT 4c (September 2024);12
54;Hideki Yukawa;Physics;1949;10152;1937;Harvard Dataverse;12
75;Robert Hofstadter;Physics;1961;10130;1949;Harvard Dataverse;12
98;Ivar Giaever;Physics;1973;10107;1961;Harvard Dataverse;12
115;Steven Weinberg;Physics;1979;10091;1967;Harvard Dataverse;12
203;Artturi Virtanen;Chemistry;1945;20133;1932;Harvard Dataverse;13
233;Manfred Eigen;Chemistry;1967;20103;1954;Harvard Dataverse;13
237;Derek Barton;Chemistry;1969;20098;1956;Harvard Dataverse;13
247;John Cornforth;Chemistry;1975;20089;1962;Harvard Dataverse;13
756;John B. Fenn;Chemistry;2002;20037;1989;Harvard Dataverse;13
795;Robert H. Grubbs;Chemistry;2005;20028;1992;Harvard Dataverse;13
347;Walter Hess;Medicine;1949;30154;1936;Harvard Dataverse;13
394;Sir Bernard Katz;Medicine;1970;30109;1957;Harvard Dataverse;13
398;Gerald M. Edelman;Medicine;1972;30104;1959;Harvard Dataverse;13
399;Rodney R. Porter;Medicine;1972;30105;1959;Harvard Dataverse;13
440;J. Michael Bishop;Medicine;1989;30064;1976;Harvard Dataverse;13
441;Harold E. Varmus;Medicine;1989;30063;1976;Harvard Dataverse;13
774;Richard Axel;Medicine;2004;30031;1991;Harvard Dataverse;13
775;Linda B. Buck;Medicine;2004;30030;1991;Harvard Dataverse;13
861;Bruce A. Beutler;Medicine;2011;30015;1998;Harvard Dataverse;13
28;Robert A. Millikan;Physics;1923;10178;1910;Harvard Dataverse;13
111;Arno Penzias;Physics;1978;10095;1965;Harvard Dataverse;13
112;Robert Woodrow Wilson;Physics;1978;10094;1965;Harvard Dataverse;13
864;Saul Perlmutter;Physics;2011;10013;1998;Harvard Dataverse;13
866;Adam G. Riess;Physics;2011;10015;1998;Harvard Dataverse;13
865;Brian P. Schmidt;Physics;2011;10014;1998;Harvard Dataverse;13
920;Arthur B. McDonald;Physics;2015;10005;2002;Harvard Dataverse;13
191;Irving Langmuir;Chemistry;1932;20145;1918;Harvard Dataverse;14
242;Stanford Moore;Chemistry;1972;20095;1958;Harvard Dataverse;14
243;William H. Stein;Chemistry;1972;20094;1958;Harvard Dataverse;14
259;Aaron Klug;Chemistry;1982;20077;1968;Harvard Dataverse;14
265;Yuan T. Lee;Chemistry;1986;20072;1972;Harvard Dataverse;14
757;Koichi Tanaka;Chemistry;2002;20036;1988;Harvard Dataverse;14
830;Martin Chalfie;Chemistry;2008;20022;1994;Harvard Dataverse;14
911;William E. Moerner;Chemistry;2014;20007;2000;Harvard Dataverse;14
326;George H. Whipple;Medicine;1934;30175;1920;Harvard Dataverse;14
349;Edward C. Kendall;Medicine;1950;30151;1936;Harvard Dataverse;14
352;Max Theiler;Medicine;1951;30150;1937;Harvard Dataverse;14
371;Georg von BÃ©kÃ©sy;Medicine;1961;30132;1947;Harvard Dataverse;14
395;Ulf von Euler;Medicine;1970;30107;1956;Harvard Dataverse;14
450;Alfred G. Gilman;Medicine;1994;30054;1980;Harvard Dataverse;14
737;Sir Paul Nurse;Medicine;2001;30037;1987;Harvard Dataverse;14
79;Maria Goeppert Mayer;Physics;1963;10125;1949;Harvard Dataverse;14
80;J. Hans D. Jensen;Physics;1963;10126;1949;Harvard Dataverse;14
805;George F. Smoot;Physics;2006;10027;1992;Harvard Dataverse;14
239;Luis Leloir;Chemistry;1970;20097;1955;Harvard Dataverse;15
240;Gerhard Herzberg;Chemistry;1971;20096;1956;Harvard Dataverse;15
248;Vladimir Prelog;Chemistry;1975;20088;1960;Harvard Dataverse;15
249;William Lipscomb;Chemistry;1976;20087;1961;Harvard Dataverse;15
276;Richard R. Ernst;Chemistry;1991;20060;1976;Harvard Dataverse;15
796;Richard R. Schrock;Chemistry;2005;20029;1990;Harvard Dataverse;15
337;Joseph Erlanger;Medicine;1944;30164;1929;Harvard Dataverse;15
338;Herbert S. Gasser;Medicine;1944;30165;1929;Harvard Dataverse;15
381;AndrÃ© Lwoff;Medicine;1965;30122;1950;Harvard Dataverse;15
386;Keffer Hartline;Medicine;1967;30117;1952;Harvard Dataverse;15
453;Christiane NÃ¼sslein-Volhard;Medicine;1995;30050;1980;Harvard Dataverse;15
454;Eric F. Wieschaus;Medicine;1995;30051;1980;Harvard Dataverse;15
457;Stanley B. Prusiner;Medicine;1997;30047;1982;Harvard Dataverse;15
862;Jules A. Hoffmann;Medicine;2011;30014;1996;Harvard Dataverse;15
10066;John Bardeen;Physics;1972;10111;1957;Harvard Dataverse;15
95;Leon N. Cooper;Physics;1972;10110;1957;Harvard Dataverse;15
96;Robert Schrieffer;Physics;1972;10109;1957;Harvard Dataverse;15
97;Leo Esaki;Physics;1973;10106;1958;Harvard Dataverse;15
155;Robert B. Laughlin;Physics;1998;10050;1983;Harvard Dataverse;15
755;Riccardo Giacconi;Physics;2002;10037;1987;Harvard Dataverse;15
200;Leopold Ruzicka;Chemistry;1939;20136;1923;Harvard Dataverse;16
209;William F. Giauque;Chemistry;1949;20127;1933;Harvard Dataverse;16
279;Michael Smith;Chemistry;1993;20057;1977;Harvard Dataverse;16
339;Sir Alexander Fleming;Medicine;1945;30162;1929;Harvard Dataverse;16
350;Tadeus Reichstein;Medicine;1950;30152;1934;Harvard Dataverse;16
354;Hans Krebs;Medicine;1953;30148;1937;Harvard Dataverse;16
414;Werner Arber;Medicine;1978;30089;1962;Harvard Dataverse;16
417;Allan M. Cormack;Medicine;1979;30087;1963;Harvard Dataverse;16
423;David H. Hubel;Medicine;1981;30080;1965;Harvard Dataverse;16
424;Torsten N. Wiesel;Medicine;1981;30082;1965;Harvard Dataverse;16
448;Richard J. Roberts;Medicine;1993;30056;1977;Harvard Dataverse;16
449;Phillip A. Sharp;Medicine;1993;30055;1977;Harvard Dataverse;16
751;H. Robert Horvitz;Medicine;2002;30034;1986;Harvard Dataverse;16
26;Albert Einstein;Physics;1921;10180;1905;Harvard Dataverse;16
34;C.T.R. Wilson;Physics;1927;10173;1911;Harvard Dataverse;16
53;Patrick M.S. Blackett;Physics;1948;10153;1932;Harvard Dataverse;16
86;Richard P. Feynman;Physics;1965;10119;1949;Harvard Dataverse;16
87;Alfred Kastler;Physics;1966;10118;1950;Harvard Dataverse;16
116;James Cronin;Physics;1980;10088;1964;Harvard Dataverse;16
117;Val Fitch;Physics;1980;10089;1964;Harvard Dataverse;16
156;Horst L. StÃ¶rmer;Physics;1998;10048;1982;Harvard Dataverse;16
157;Daniel C. Tsui;Physics;1998;10049;1982;Harvard Dataverse;16
804;John C. Mather;Physics;2006;10026;1990;Harvard Dataverse;16
876;Serge Haroche;Physics;2012;10011;1996;Harvard Dataverse;16
